fault,batch,variable,windows,level_positive_windows,trend_positive_windows,residual_positive_windows,diff_positive_windows,rapid_positive_windows,level_max_same_sign_run,trend_max_same_sign_run,drift_max_coherent_run,residual_max_run,diff_max_run,rapid_max_run,level_positive_sign_count,level_negative_sign_count,level_sign_coherence,level_dominant_sign,trend_positive_sign_count,trend_negative_sign_count,trend_sign_coherence,trend_dominant_sign,first_shift_sigma,first_slope_sigma_h,first_residual_std_ratio,first_diff_std_ratio,first_level_candidate,first_trend_candidate,first_residual_candidate,first_diff_candidate,first_rapid_candidate,late_shift_sigma_median,late_abs_slope_sigma_h_median,late_residual_std_ratio_median,late_diff_std_ratio_median,late_level_positive_windows,late_trend_positive_windows,late_residual_positive_windows,late_diff_positive_windows,late_rapid_positive_windows,level_batches_persistent,drift_batches_persistent,residual_batches_persistent,diff_batches_persistent,rapid_batches_persistent
1,1,XMEAS-1,8,8,6,3,0,0,8,1,1,3,0,0,8,0,1.0,+,3,3,0.5,tie,76.67353831016274,31.153280989078283,10.785177887482044,1.3068055814879471,True,True,True,False,False,85.1256594019298,0.32994214081492973,0.7861887150195668,0.9446898764790244,2,0,0,0,0,5,0,5,0,0
1,1,XMEAS-10,8,2,4,2,1,1,1,1,1,2,1,1,1,1,0.5,tie,2,2,0.5,tie,3.868657231619516,-9.64277854423298,13.33832989997958,1.8476269283027311,True,True,True,True,True,-0.6160622039762232,0.32781358448618403,1.0042277477044848,0.9881371555662384,0,0,0,0,0,0,0,5,0,0
1,1,XMEAS-11,8,3,5,4,0,0,1,1,1,4,0,0,2,1,0.6666666666666666,+,2,3,0.6,-,-22.607354324452334,-8.349173978684112,5.082161774177855,0.9871948783144404,True,True,True,False,False,0.8470158895199251,0.0955681923285899,0.9334425485756055,1.074743681081812,0,0,0,0,0,0,0,5,0,0
1,1,XMEAS-12,8,0,2,1,0,0,0,1,1,1,0,0,0,0,,none,1,1,0.5,tie,-0.1089552867550838,1.74526291359631,2.78272009141441,1.074252197968227,False,True,True,False,False,-0.06641288701572855,0.03983517125184395,1.0039986222560944,1.0167455551524205,0,0,0,0,0,0,0,0,0,0
1,1,XMEAS-13,8,2,2,2,0,0,2,1,1,2,0,0,0,2,1.0,-,1,1,0.5,tie,-8.055512943820466,-8.61329576466559,4.761993834796209,1.057261549230893,True,True,True,False,False,0.03528149037756485,0.14491376311383225,1.091642173826835,1.0394255855759789,0,0,0,0,0,5,0,5,0,0
1,1,XMEAS-14,8,1,2,1,0,0,1,1,1,1,0,0,1,0,1.0,+,1,1,0.5,tie,-0.1487364974951382,1.6892605042193825,2.748054024336703,1.0409291215159115,False,True,True,False,False,-0.30836380294797555,0.0380763024715862,0.9777035192427341,0.9665365302996356,0,0,0,0,0,0,0,0,0,0
1,1,XMEAS-15,8,3,3,3,0,0,1,1,1,3,0,0,1,2,0.6666666666666666,-,1,2,0.6666666666666666,-,-6.435546873569598,-2.9499798519402103,4.2335982926600915,0.9318936034533496,True,True,True,False,False,-0.12911455020454624,0.09565135890028875,0.9712554705167022,1.0028878770207414,0,0,0,0,0,0,0,5,0,0
1,1,XMEAS-16,8,2,2,2,0,0,2,1,1,2,0,0,0,2,1.0,-,1,1,0.5,tie,-7.829224687107313,-8.662450998215096,4.843612797612831,1.0718326036527046,True,True,True,False,False,-0.14030144825942353,0.1392022825642825,1.076296122414932,1.0506315774941517,0,0,0,0,0,5,0,5,0,0
1,1,XMEAS-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,0,0,,none,-0.8479147909473375,-0.4053274900902744,1.0430562211191892,0.9217619401395848,False,False,False,False,False,-0.019943632343281198,0.0698787479805036,0.9476077931342063,0.9428211809777046,0,0,0,0,0,0,0,0,0,0
1,1,XMEAS-18,8,8,3,4,0,0,7,1,1,4,0,0,7,1,0.875,+,1,2,0.6666666666666666,-,-20.422366397889487,-5.9786686045672335,6.260495469637208,1.261089640750687,True,True,True,False,False,10.810157904476391,0.1662399472789028,0.6234774561445381,0.9674906176112323,2,0,0,0,0,5,0,5,0,0
