fault,batch,abs_shift_sigma_var,abs_shift_sigma_value,shift_sigma_signed,abs_slope_sigma_h_var,abs_slope_sigma_h_value,slope_sigma_h_signed,raw_std_ratio_var,raw_std_ratio_value,diff_std_ratio_var,diff_std_ratio_value,residual_std_ratio_var,residual_std_ratio_value
1,1,XMEAS-1,84.63276386989925,84.63276386989925,XMEAS-20,0.5330067746979701,0.5330067746979701,XMEAS-1,19.5532760078445,XMEAS-1,1.1860013755677683,XMEAS-1,19.599039147270002
1,2,XMEAS-1,84.65772390615429,84.65772390615429,XMEAS-20,0.5398762528938961,0.5398762528938961,XMEAS-1,19.729517033029758,XMEAS-1,1.2020837547130334,XMEAS-1,19.780308938935935
1,3,XMEAS-1,84.6066009952681,84.6066009952681,XMEAS-20,0.5228783130987176,0.5228783130987176,XMEAS-1,19.60507042992799,XMEAS-1,1.2065866990661838,XMEAS-1,19.644507982529866
1,4,XMEAS-1,84.60437799255992,84.60437799255992,XMEAS-20,0.5666364661000974,0.5666364661000974,XMEAS-1,19.62209493710989,XMEAS-1,1.2038933736457567,XMEAS-1,19.66376817654633
1,5,XMEAS-1,84.64593093089348,84.64593093089348,XMEAS-20,0.5539465167813353,0.5539465167813353,XMEAS-1,19.784447274155905,XMEAS-1,1.2015228648348704,XMEAS-1,19.830144640238732
8,1,XMEAS-1,8.34946317502379,-8.34946317502379,XMEAS-18,0.48869331987459425,-0.48869331987459425,XMEAS-1,32.02180484467475,XMEAS-10,1.9296860935953124,XMEAS-1,31.93012005681526
8,2,XMEAS-1,4.009009951858949,-4.009009951858949,XMEAS-1,0.5603057801718373,-0.5603057801718373,XMEAS-1,21.98309286520584,XMEAS-10,1.6244553704019742,XMEAS-1,21.101901217548857
8,3,XMEAS-7,6.275378611628643,-6.275378611628643,XMEAS-34,0.3368363838212339,0.3368363838212339,XMEAS-1,31.04571551567216,XMEAS-10,1.8557512599305637,XMEAS-1,31.060013790607986
8,4,XMEAS-34,5.753125735643918,-5.753125735643918,XMEAS-20,0.15359388740005098,-0.15359388740005098,XMEAS-1,34.62811722256953,XMEAS-10,2.3072763487857646,XMEAS-1,34.7811690438604
8,5,XMEAS-18,3.598258233798834,-3.598258233798834,XMEAS-1,1.0076561942705313,1.0076561942705313,XMEAS-1,31.913356231523007,XMEAS-10,1.9255479434841052,XMEAS-1,29.84704431783241
10,1,XMEAS-18,4.0076800187116,4.0076800187116,XMEAS-18,0.04534393963770091,-0.04534393963770091,XMEAS-18,14.499818099611687,XMEAS-18,2.092715821129239,XMEAS-18,15.090867697364066
10,2,XMEAS-18,2.031279133773594,2.031279133773594,XMEAS-18,0.4049350674720087,0.4049350674720087,XMEAS-18,16.503949444225345,XMEAS-18,2.0422925132551177,XMEAS-18,16.483374288493597
10,3,XMEAS-20,0.3126871702311886,-0.3126871702311886,XMEAS-18,0.22906225786198664,-0.22906225786198664,XMEAS-18,16.385135582685713,XMEAS-18,2.105824332347716,XMEAS-18,16.840276099820574
10,4,XMEAS-18,2.809424194591522,2.809424194591522,XMEAS-18,0.07345093501424642,-0.07345093501424642,XMEAS-18,15.743950811975056,XMEAS-18,2.7192184659522307,XMEAS-18,16.37259333711202
10,5,XMEAS-18,0.467367415227424,-0.467367415227424,XMEAS-18,0.10653957358530179,-0.10653957358530179,XMEAS-18,17.84735271778519,XMEAS-18,2.0364141241014413,XMEAS-18,18.542756136277653
13,1,XMEAS-7,34.173940070670255,-34.173940070670255,XMEAS-34,0.5653692827999628,0.5653692827999628,XMEAS-7,49.57710677956379,XMEAS-10,3.2544156343756447,XMEAS-7,49.57047479546453
13,2,XMEAS-7,43.25634663675704,-43.25634663675704,XMEAS-34,0.7378224068398754,0.7378224068398754,XMEAS-7,70.72237589026145,XMEAS-10,3.3027005867058734,XMEAS-7,70.49678394537203
13,3,XMEAS-7,25.870843158851812,-25.870843158851812,XMEAS-34,0.3414457626393149,0.3414457626393149,XMEAS-7,40.81628511865798,XMEAS-10,2.9515906932578724,XMEAS-7,40.72744213381429
13,4,XMEAS-7,24.416672956341607,-24.416672956341607,XMEAS-7,0.9542614597664577,-0.9542614597664577,XMEAS-7,40.9565304408482,XMEAS-10,2.6764349147347692,XMEAS-7,39.44719490501561
13,5,XMEAS-7,36.67598962893282,-36.67598962893282,XMEAS-20,0.2414408988272761,0.2414408988272761,XMEAS-7,58.64670467126991,XMEAS-10,3.2274508873004915,XMEAS-7,58.64862354113023
