fault,metric,variable,batches_in_top5
1,abs_shift_sigma,XMEAS-1,5
1,abs_shift_sigma,XMEAS-4,5
1,abs_shift_sigma,XMEAS-18,5
1,abs_shift_sigma,XMEAS-20,5
1,abs_shift_sigma,XMEAS-38,5
1,abs_slope_sigma_h,XMEAS-20,5
1,abs_slope_sigma_h,XMEAS-18,5
1,abs_slope_sigma_h,XMEAS-34,5
1,abs_slope_sigma_h,XMEAS-11,5
1,abs_slope_sigma_h,XMEAS-22,5
1,raw_std_ratio,XMEAS-1,5
1,raw_std_ratio,XMEAS-20,5
1,raw_std_ratio,XMEAS-18,5
1,raw_std_ratio,XMEAS-11,5
1,raw_std_ratio,XMEAS-31,5
1,diff_std_ratio,XMEAS-1,5
1,diff_std_ratio,XMEAS-10,5
1,diff_std_ratio,XMEAS-31,3
1,diff_std_ratio,XMEAS-23,2
1,diff_std_ratio,XMEAS-41,2
1,diff_std_ratio,XMEAS-28,2
1,diff_std_ratio,XMEAS-38,1
1,diff_std_ratio,XMEAS-30,1
1,diff_std_ratio,XMEAS-35,1
1,diff_std_ratio,XMEAS-18,1
1,diff_std_ratio,XMEAS-37,1
1,diff_std_ratio,XMEAS-24,1
1,residual_std_ratio,XMEAS-1,5
1,residual_std_ratio,XMEAS-20,5
1,residual_std_ratio,XMEAS-18,5
1,residual_std_ratio,XMEAS-11,5
1,residual_std_ratio,XMEAS-31,5
8,abs_shift_sigma,XMEAS-1,4
8,abs_shift_sigma,XMEAS-34,4
8,abs_shift_sigma,XMEAS-30,4
8,abs_shift_sigma,XMEAS-18,3
8,abs_shift_sigma,XMEAS-28,3
8,abs_shift_sigma,XMEAS-13,2
8,abs_shift_sigma,XMEAS-7,2
8,abs_shift_sigma,XMEAS-16,1
8,abs_shift_sigma,XMEAS-20,1
8,abs_shift_sigma,XMEAS-24,1
8,abs_slope_sigma_h,XMEAS-20,4
8,abs_slope_sigma_h,XMEAS-18,3
8,abs_slope_sigma_h,XMEAS-1,3
8,abs_slope_sigma_h,XMEAS-11,2
8,abs_slope_sigma_h,XMEAS-22,2
8,abs_slope_sigma_h,XMEAS-34,2
8,abs_slope_sigma_h,XMEAS-28,2
8,abs_slope_sigma_h,XMEAS-7,2
8,abs_slope_sigma_h,XMEAS-16,2
8,abs_slope_sigma_h,XMEAS-13,2
8,abs_slope_sigma_h,XMEAS-4,1
8,raw_std_ratio,XMEAS-1,5
8,raw_std_ratio,XMEAS-20,5
8,raw_std_ratio,XMEAS-11,5
8,raw_std_ratio,XMEAS-18,4
8,raw_std_ratio,XMEAS-31,4
8,raw_std_ratio,XMEAS-7,1
8,raw_std_ratio,XMEAS-16,1
8,diff_std_ratio,XMEAS-10,5
8,diff_std_ratio,XMEAS-1,5
8,diff_std_ratio,XMEAS-31,5
8,diff_std_ratio,XMEAS-29,5
8,diff_std_ratio,XMEAS-18,2
8,diff_std_ratio,XMEAS-25,1
8,diff_std_ratio,XMEAS-16,1
8,diff_std_ratio,XMEAS-23,1
8,residual_std_ratio,XMEAS-1,5
