arm,agent_id,true_pseudolabel,scope,n,correct,accuracy,abstentions
shared_prototypes,agent_1,CLS-ZOGAA,local_seen,3,3,1.0,0
shared_prototypes,agent_1,CLS-OJNSG,local_unseen,3,3,1.0,0
shared_prototypes,agent_1,CLS-R463B,local_unseen,3,3,1.0,0
shared_prototypes,agent_1,CLS-Z3ISU,local_unseen,3,3,1.0,0
shared_prototypes,agent_1,Normal,normal,3,3,1.0,0
shared_prototypes,agent_2,CLS-ZOGAA,local_unseen,3,3,1.0,0
shared_prototypes,agent_2,CLS-OJNSG,local_seen,3,3,1.0,0
shared_prototypes,agent_2,CLS-R463B,local_unseen,3,3,1.0,0
shared_prototypes,agent_2,CLS-Z3ISU,local_unseen,3,3,1.0,0
shared_prototypes,agent_2,Normal,normal,3,3,1.0,0
shared_prototypes,agent_3,CLS-ZOGAA,local_unseen,3,3,1.0,0
shared_prototypes,agent_3,CLS-OJNSG,local_unseen,3,3,1.0,0
shared_prototypes,agent_3,CLS-R463B,local_seen,3,3,1.0,0
shared_prototypes,agent_3,CLS-Z3ISU,local_unseen,3,3,1.0,0
shared_prototypes,agent_3,Normal,normal,3,3,1.0,0
shared_prototypes,agent_4,CLS-ZOGAA,local_unseen,3,3,1.0,0
shared_prototypes,agent_4,CLS-OJNSG,local_unseen,3,3,1.0,0
shared_prototypes,agent_4,CLS-R463B,local_unseen,3,3,1.0,0
shared_prototypes,agent_4,CLS-Z3ISU,local_seen,3,3,1.0,0
shared_prototypes,agent_4,Normal,normal,3,3,1.0,0
local_only,agent_1,CLS-ZOGAA,local_seen,3,3,1.0,0
local_only,agent_1,CLS-OJNSG,local_unseen,3,0,0.0,0
local_only,agent_1,CLS-R463B,local_unseen,3,0,0.0,0
local_only,agent_1,CLS-Z3ISU,local_unseen,3,0,0.0,0
local_only,agent_1,Normal,normal,3,3,1.0,0
local_only,agent_2,CLS-ZOGAA,local_unseen,3,0,0.0,0
local_only,agent_2,CLS-OJNSG,local_seen,3,3,1.0,0
local_only,agent_2,CLS-R463B,local_unseen,3,0,0.0,0
local_only,agent_2,CLS-Z3ISU,local_unseen,3,0,0.0,0
local_only,agent_2,Normal,normal,3,3,1.0,0
local_only,agent_3,CLS-ZOGAA,local_unseen,3,0,0.0,0
local_only,agent_3,CLS-OJNSG,local_unseen,3,0,0.0,0
local_only,agent_3,CLS-R463B,local_seen,3,3,1.0,0
local_only,agent_3,CLS-Z3ISU,local_unseen,3,0,0.0,0
local_only,agent_3,Normal,normal,3,3,1.0,0
local_only,agent_4,CLS-ZOGAA,local_unseen,3,0,0.0,0
local_only,agent_4,CLS-OJNSG,local_unseen,3,0,0.0,0
local_only,agent_4,CLS-R463B,local_unseen,3,0,0.0,0
local_only,agent_4,CLS-Z3ISU,local_seen,3,3,1.0,0
local_only,agent_4,Normal,normal,3,3,1.0,0
centralized_reference,agent_1,CLS-ZOGAA,local_seen,3,3,1.0,0
centralized_reference,agent_1,CLS-OJNSG,local_unseen,3,3,1.0,0
centralized_reference,agent_1,CLS-R463B,local_unseen,3,3,1.0,0
centralized_reference,agent_1,CLS-Z3ISU,local_unseen,3,3,1.0,0
centralized_reference,agent_1,Normal,normal,3,3,1.0,0
centralized_reference,agent_2,CLS-ZOGAA,local_unseen,3,3,1.0,0
centralized_reference,agent_2,CLS-OJNSG,local_seen,3,3,1.0,0
centralized_reference,agent_2,CLS-R463B,local_unseen,3,3,1.0,0
centralized_reference,agent_2,CLS-Z3ISU,local_unseen,3,3,1.0,0
centralized_reference,agent_2,Normal,normal,3,3,1.0,0
centralized_reference,agent_3,CLS-ZOGAA,local_unseen,3,3,1.0,0
centralized_reference,agent_3,CLS-OJNSG,local_unseen,3,3,1.0,0
centralized_reference,agent_3,CLS-R463B,local_seen,3,3,1.0,0
centralized_reference,agent_3,CLS-Z3ISU,local_unseen,3,3,1.0,0
centralized_reference,agent_3,Normal,normal,3,3,1.0,0
centralized_reference,agent_4,CLS-ZOGAA,local_unseen,3,3,1.0,0
centralized_reference,agent_4,CLS-OJNSG,local_unseen,3,3,1.0,0
centralized_reference,agent_4,CLS-R463B,local_unseen,3,3,1.0,0
centralized_reference,agent_4,CLS-Z3ISU,local_seen,3,3,1.0,0
centralized_reference,agent_4,Normal,normal,3,3,1.0,0
