physical_case_id,fault/status,attempt,seed,filename,size_bytes,SHA256,rows,cols,time_start,time_end,sampling,finite_check,structural_valid
EXP3-N-001,Normal,TBD,310001,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-N-002,Normal,TBD,310002,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-N-003,Normal,TBD,310003,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-N-004,Normal,TBD,310004,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-N-005,Normal,TBD,310005,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-N-006,Normal,TBD,310006,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F1-001,F1,TBD,310007,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F1-002,F1,TBD,310008,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F1-003,F1,TBD,310009,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F1-004,F1,TBD,310010,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F1-005,F1,TBD,310011,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F1-006,F1,TBD,310012,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F8-001,F8,TBD,310013,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F8-002,F8,TBD,310014,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F8-003,F8,TBD,310015,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F8-004,F8,TBD,310016,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F8-005,F8,TBD,310017,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F8-006,F8,TBD,310018,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F10-001,F10,TBD,310019,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F10-002,F10,TBD,310020,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F10-003,F10,TBD,310021,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F10-004,F10,TBD,310022,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F10-005,F10,TBD,310023,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F10-006,F10,TBD,310024,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F13-001,F13,TBD,310025,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F13-002,F13,TBD,310026,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F13-003,F13,TBD,310027,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F13-004,F13,TBD,310028,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F13-005,F13,TBD,310029,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3-F13-006,F13,TBD,310030,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
