physical_case_id,fault/status,attempt,seed,filename,size_bytes,SHA256,rows,cols,time_start,time_end,sampling,finite_check,structural_valid
EXP3V2-N-001,Normal,TBD,320001,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-N-002,Normal,TBD,320002,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-N-003,Normal,TBD,320003,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-N-004,Normal,TBD,320004,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-N-005,Normal,TBD,320005,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-N-006,Normal,TBD,320006,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F1-001,F1,TBD,320007,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F1-002,F1,TBD,320008,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F1-003,F1,TBD,320009,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F1-004,F1,TBD,320010,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F1-005,F1,TBD,320011,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F1-006,F1,TBD,320012,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F8-001,F8,TBD,320013,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F8-002,F8,TBD,320014,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F8-003,F8,TBD,320015,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F8-004,F8,TBD,320016,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F8-005,F8,TBD,320017,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F8-006,F8,TBD,320018,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F10-001,F10,TBD,320019,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F10-002,F10,TBD,320020,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F10-003,F10,TBD,320021,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F10-004,F10,TBD,320022,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F10-005,F10,TBD,320023,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F10-006,F10,TBD,320024,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F13-001,F13,TBD,320025,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F13-002,F13,TBD,320026,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F13-003,F13,TBD,320027,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F13-004,F13,TBD,320028,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F13-005,F13,TBD,320029,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EXP3V2-F13-006,F13,TBD,320030,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
