physical_case_id,true_pseudolabel,agent_id,A_correct,Aplus_correct,B_correct,E_correct,delta_Aplus_minus_A,delta_B_minus_Aplus,delta_E_minus_Aplus,delta_B_minus_A,delta_B_minus_E
PBH-007,CLS-OJNSG,agent_1,0,0,1,0,0,1,0,1,1
PBH-008,CLS-OJNSG,agent_1,0,0,1,0,0,1,0,1,1
PBH-009,CLS-OJNSG,agent_1,0,0,1,0,0,1,0,1,1
PBH-010,CLS-R463B,agent_1,0,0,1,0,0,1,0,1,1
PBH-011,CLS-R463B,agent_1,0,0,1,0,0,1,0,1,1
PBH-012,CLS-R463B,agent_1,0,0,1,0,0,1,0,1,1
PBH-013,CLS-Z3ISU,agent_1,0,0,1,0,0,1,0,1,1
PBH-014,CLS-Z3ISU,agent_1,0,0,1,0,0,1,0,1,1
PBH-015,CLS-Z3ISU,agent_1,0,0,1,0,0,1,0,1,1
PBH-004,CLS-ZOGAA,agent_2,0,0,1,0,0,1,0,1,1
PBH-005,CLS-ZOGAA,agent_2,0,0,1,0,0,1,0,1,1
PBH-006,CLS-ZOGAA,agent_2,0,0,1,0,0,1,0,1,1
PBH-010,CLS-R463B,agent_2,0,0,1,0,0,1,0,1,1
PBH-011,CLS-R463B,agent_2,0,0,1,0,0,1,0,1,1
PBH-012,CLS-R463B,agent_2,0,0,1,0,0,1,0,1,1
PBH-013,CLS-Z3ISU,agent_2,0,0,1,0,0,1,0,1,1
PBH-014,CLS-Z3ISU,agent_2,0,0,1,0,0,1,0,1,1
PBH-015,CLS-Z3ISU,agent_2,0,0,1,0,0,1,0,1,1
PBH-004,CLS-ZOGAA,agent_3,0,0,1,0,0,1,0,1,1
PBH-005,CLS-ZOGAA,agent_3,0,0,1,0,0,1,0,1,1
PBH-006,CLS-ZOGAA,agent_3,0,0,1,0,0,1,0,1,1
PBH-007,CLS-OJNSG,agent_3,0,0,0,0,0,0,0,0,0
PBH-008,CLS-OJNSG,agent_3,0,0,0,1,0,0,1,0,-1
PBH-009,CLS-OJNSG,agent_3,0,0,0,0,0,0,0,0,0
PBH-013,CLS-Z3ISU,agent_3,0,0,1,0,0,1,0,1,1
PBH-014,CLS-Z3ISU,agent_3,0,0,1,0,0,1,0,1,1
PBH-015,CLS-Z3ISU,agent_3,0,0,1,1,0,1,1,1,0
PBH-004,CLS-ZOGAA,agent_4,0,0,1,0,0,1,0,1,1
PBH-005,CLS-ZOGAA,agent_4,0,0,1,0,0,1,0,1,1
PBH-006,CLS-ZOGAA,agent_4,0,0,1,0,0,1,0,1,1
PBH-007,CLS-OJNSG,agent_4,0,0,0,0,0,0,0,0,0
PBH-008,CLS-OJNSG,agent_4,0,0,1,0,0,1,0,1,1
PBH-009,CLS-OJNSG,agent_4,0,0,0,1,0,0,1,0,-1
PBH-010,CLS-R463B,agent_4,0,0,1,0,0,1,0,1,1
PBH-011,CLS-R463B,agent_4,0,0,1,0,0,1,0,1,1
PBH-012,CLS-R463B,agent_4,0,0,1,0,0,1,0,1,1
