case_id,class_offline,fault_id,batch,filename,generation_group,simulator_commit,model_name,matlab_version,solver,stop_time_h,size_bytes,sha256,xlsx_valid,sheet_name,data_rows,columns,header_ok,finite_numeric,no_nan,no_inf,time_start_h,time_end_h,time_monotonic,sampling_interval_h,sampling_interval_min,sampling_constant,trip_or_length_status
PBH-001,Normal,,12,mode1_normal_12.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1704294,ffb6b7214e33fb7fe32cabd42821b2a28c75758fc5351efafaa8a89719865a9a,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-002,Normal,,13,mode1_normal_13.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1704620,6acf8394c2652ad29ac0fc75d90ac3c95b40d02788fda53961b897b10d2af551,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-003,Normal,,14,mode1_normal_14.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1704507,eeb2a05806586923fd2bd0a724b52a7622b260eb38e98bbd8e8fd301615af5d5,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-004,F1,1,11,mode1_1_11.xlsx,initial_heldout_batch_11,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1706374,b539c20a137547cd1023d61ad0fc3b654661484d711b71a5100581be55e53831,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-005,F1,1,12,mode1_1_12.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1706269,750085c3471a03c2e8c734ed9e49ae56a30948a0451d2eb22f0454284e727bb5,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-006,F1,1,13,mode1_1_13.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1706266,a8bf95d88c233bfef1cd0d7b7cb317a7c8b9d4afc88800c2a0972cd9f326ee69,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-007,F8,8,11,mode1_8_11.xlsx,initial_heldout_batch_11,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1706446,5ec8927c517d6edd4c4fb5fb103b7e205506c664688b2d376bde2c9789f3a265,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-008,F8,8,12,mode1_8_12.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1707218,25c7d121c9348afd75d20956de1dfe2f2be9ef634b724d0daf9ca717b2cb2112,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-009,F8,8,13,mode1_8_13.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1707445,71f6e2f7b134cbed735d691bf45e79cc23845b997884ce8e16f93ea99db1deb1,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-010,F10,10,11,mode1_10_11.xlsx,initial_heldout_batch_11,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1704828,90652064d8f0e70b156a451cc24d04b8c05c42fbade9357597acb08845c77200,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-011,F10,10,12,mode1_10_12.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1704856,0bf19d7353121f2e7450c522876e483a652032aaffeb5cbcb01124c2507cdb6e,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-012,F10,10,13,mode1_10_13.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1704290,afb0dd2f77dc465c6209cb15e5cbe8a9538a128e17737ca7382f5a403822b5c5,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-013,F13,13,11,mode1_13_11.xlsx,initial_heldout_batch_11,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1708407,670f3255afea52bfe6524687adb8bc91767799f383afd9e9e3faab13bd48df4b,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-014,F13,13,12,mode1_13_12.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1707331,56584fae1e6d855cf60cd4c040bce9553d464d78cfe7cf5e81ee906297bb4293,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
PBH-015,F13,13,13,mode1_13_13.xlsx,phase_b_extra_runs,a0413e16c940f0fc8b554d6a86248020d7fb7527,MultiLoop_mode1,R2025b,ode45,50,1708382,5658938bcb2947929592948f0a929a6b068ee2586ab4b90bedc02edf6b447bf3,true,Sheet1,3001,54,true,true,true,true,0,50,true,0.016666666666666666,1,true,complete_no_early_stop
