fault,interval,feature,variable,active_batches,batches
1,10-15h,level,XMEAS-1,5,5
1,10-15h,level,XMEAS-10,5,5
1,10-15h,level,XMEAS-11,5,5
1,10-15h,level,XMEAS-13,5,5
1,10-15h,level,XMEAS-15,5,5
1,10-15h,level,XMEAS-16,5,5
1,10-15h,level,XMEAS-18,5,5
1,10-15h,level,XMEAS-20,5,5
1,10-15h,level,XMEAS-21,5,5
1,10-15h,level,XMEAS-22,5,5
1,10-15h,level,XMEAS-23,5,5
1,10-15h,level,XMEAS-24,5,5
1,10-15h,level,XMEAS-25,5,5
1,10-15h,level,XMEAS-26,5,5
1,10-15h,level,XMEAS-27,5,5
1,10-15h,level,XMEAS-28,5,5
1,10-15h,level,XMEAS-29,5,5
1,10-15h,level,XMEAS-30,5,5
1,10-15h,level,XMEAS-31,5,5
1,10-15h,level,XMEAS-33,5,5
1,10-15h,level,XMEAS-34,5,5
1,10-15h,level,XMEAS-35,5,5
1,10-15h,level,XMEAS-36,5,5
1,10-15h,level,XMEAS-38,5,5
1,10-15h,level,XMEAS-4,5,5
1,10-15h,level,XMEAS-5,5,5
1,10-15h,level,XMEAS-6,5,5
1,10-15h,level,XMEAS-7,5,5
1,10-15h,trend,XMEAS-1,5,5
1,10-15h,trend,XMEAS-10,5,5
1,10-15h,trend,XMEAS-11,5,5
1,10-15h,trend,XMEAS-12,5,5
1,10-15h,trend,XMEAS-13,5,5
1,10-15h,trend,XMEAS-14,5,5
1,10-15h,trend,XMEAS-15,5,5
1,10-15h,trend,XMEAS-16,5,5
1,10-15h,trend,XMEAS-18,5,5
1,10-15h,trend,XMEAS-20,5,5
1,10-15h,trend,XMEAS-21,5,5
1,10-15h,trend,XMEAS-22,5,5
1,10-15h,trend,XMEAS-24,5,5
1,10-15h,trend,XMEAS-25,5,5
1,10-15h,trend,XMEAS-27,5,5
1,10-15h,trend,XMEAS-28,5,5
1,10-15h,trend,XMEAS-29,5,5
1,10-15h,trend,XMEAS-3,5,5
1,10-15h,trend,XMEAS-30,5,5
1,10-15h,trend,XMEAS-31,5,5
1,10-15h,trend,XMEAS-33,5,5
1,10-15h,trend,XMEAS-34,5,5
1,10-15h,trend,XMEAS-35,5,5
1,10-15h,trend,XMEAS-36,5,5
1,10-15h,trend,XMEAS-38,5,5
1,10-15h,trend,XMEAS-4,5,5
1,10-15h,trend,XMEAS-7,5,5
1,10-15h,trend,XMEAS-23,1,5
1,10-15h,diff,XMEAS-10,5,5
