fault,interval,feature,positive_batches,batches,positive_fraction,median_score_over_threshold,maximum_score_over_threshold
1,0-5h,level,0,5,0.0,0.2740406342079924,0.4246486035078033
1,0-5h,trend,0,5,0.0,0.4006452387500378,0.7298079984858662
1,0-5h,residual,0,5,0.0,0.8489888867371341,0.8942293510224109
1,0-5h,diff,0,5,0.0,0.8951194815836688,0.9135933565624602
1,0-5h,any-primary,0,5,0.0,,
1,5-10h,level,0,5,0.0,0.31779656473103773,0.6757705668021337
1,5-10h,trend,1,5,0.2,0.4779603947802252,1.2077095245209426
1,5-10h,residual,0,5,0.0,0.8593854979823503,0.873547144699585
1,5-10h,diff,0,5,0.0,0.8634543676661849,0.8966582040479708
1,5-10h,any-primary,1,5,0.2,,
1,10-15h,level,5,5,1.0,38.766268782211924,38.974697877492865
1,10-15h,trend,5,5,1.0,41.79406120448464,41.88119628394792
1,10-15h,residual,5,5,1.0,10.021717137014514,10.096230892215095
1,10-15h,diff,5,5,1.0,1.3149204374612924,1.362893677858603
1,10-15h,any-primary,5,5,1.0,,
8,0-5h,level,0,5,0.0,0.3276594578800044,0.39347824423165917
8,0-5h,trend,0,5,0.0,0.5256910222982132,0.7343820446513463
8,0-5h,residual,0,5,0.0,0.8169646637229424,0.8495237079684532
8,0-5h,diff,0,5,0.0,0.83788545617729,0.9698393572794929
8,0-5h,any-primary,0,5,0.0,,
8,5-10h,level,0,5,0.0,0.3703027595193647,0.559044069779755
8,5-10h,trend,0,5,0.0,0.5268838121913997,0.6304639400240217
8,5-10h,residual,0,5,0.0,0.8608834509329563,0.8854386941292008
8,5-10h,diff,0,5,0.0,0.8526780159077725,0.9441217781264923
8,5-10h,any-primary,0,5,0.0,,
8,10-15h,level,5,5,1.0,12.031215136866816,14.690328188698592
8,10-15h,trend,5,5,1.0,11.41579235980096,17.04945830237795
8,10-15h,residual,5,5,1.0,5.889319713756593,14.994584742568582
8,10-15h,diff,3,5,0.6,1.119103774937688,1.4504346696323256
8,10-15h,any-primary,5,5,1.0,,
10,0-5h,level,0,5,0.0,0.28985621429607616,0.43879791709936944
10,0-5h,trend,0,5,0.0,0.5732758460528373,0.8157778965064041
10,0-5h,residual,0,5,0.0,0.8729583593797818,0.9072040870829943
10,0-5h,diff,0,5,0.0,0.9505717120432471,0.9867726263193468
10,0-5h,any-primary,0,5,0.0,,
10,5-10h,level,0,5,0.0,0.32088108585652547,0.4808701631137853
10,5-10h,trend,0,5,0.0,0.45158145908386216,0.7818233902885252
10,5-10h,residual,0,5,0.0,0.8132387453737533,0.8658046902979396
10,5-10h,diff,0,5,0.0,0.8536444573116059,0.9200071699936461
10,5-10h,any-primary,0,5,0.0,,
10,10-15h,level,3,5,0.6,3.0881825182460987,5.495744562665929
10,10-15h,trend,5,5,1.0,3.1901010623615824,5.965938787789826
10,10-15h,residual,5,5,1.0,8.903516176721487,13.88240106542811
10,10-15h,diff,4,5,0.8,1.1663435819148893,1.984465893110976
10,10-15h,any-primary,5,5,1.0,,
13,0-5h,level,0,5,0.0,0.2729009143443844,0.35190966380057975
13,0-5h,trend,0,5,0.0,0.35661438133646184,0.46622587007074845
13,0-5h,residual,0,5,0.0,0.8089297227749611,0.9732769125191854
13,0-5h,diff,0,5,0.0,0.8338526300209383,0.9180355643480324
13,0-5h,any-primary,0,5,0.0,,
13,5-10h,level,0,5,0.0,0.3879155268785479,0.710186876949307
13,5-10h,trend,0,5,0.0,0.523293435502007,0.6603426780153618
13,5-10h,residual,0,5,0.0,0.8710973240657752,0.9758147507790477
13,5-10h,diff,0,5,0.0,0.885351717372354,0.9840786337318316
13,5-10h,any-primary,0,5,0.0,,
13,10-15h,level,5,5,1.0,4.488839118085264,5.820120490783913
13,10-15h,trend,5,5,1.0,9.071679884331681,18.431326669285806
13,10-15h,residual,5,5,1.0,9.9553946170881,27.168970274067135
13,10-15h,diff,5,5,1.0,1.5608470720492205,2.765441109912293
13,10-15h,any-primary,5,5,1.0,,
