evidence_id,run_id,evaluation_scope,true_label,window_ordinal,window_start_h,window_end_h,source_sha256,source_manifest_sha256,signature_path,signature_bytes,signature_sha256,signature_dimension
FINAL-EVD-0001,test-ood-F4-r01,ood,F4,1,25.0,30.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0001.signature.csv,4250,dc404216f8aa3e46c555b9e2cf543b9dd1bdfa7ca9a48524b2c1a804e0cc1805,697
FINAL-EVD-0002,test-ood-F4-r01,ood,F4,2,30.0,35.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0002.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0003,test-ood-F4-r01,ood,F4,3,35.0,40.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0003.signature.csv,4252,decb198611bf4c4398b091b45a8175a83f83bf11a903d6d4cecc064020005e52,697
FINAL-EVD-0004,test-ood-F4-r01,ood,F4,4,40.0,45.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0004.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0005,test-ood-F4-r01,ood,F4,5,45.0,50.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0005.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0006,test-ood-F4-r01,ood,F4,6,50.0,55.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0006.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0007,test-ood-F4-r01,ood,F4,7,55.0,60.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0007.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0008,test-ood-F4-r01,ood,F4,8,60.0,65.0,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,signatures/FINAL-EVD-0008.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0009,test-ood-F4-r02,ood,F4,1,25.0,30.0,196c48a082e194653982cba05505847a77c1b7894e347d64ccf6e636295d8a68,38b4cf766229ae7fd6d665fe9966e84140cd96e5d3e3cafc7cfb2c84670f8e92,signatures/FINAL-EVD-0009.signature.csv,4250,2edc7f65ae5b870cc5ca78d6129adfbc682d9e99a50e6dc6fd5c12a305559cbb,697
FINAL-EVD-0010,test-ood-F4-r02,ood,F4,2,30.0,35.0,196c48a082e194653982cba05505847a77c1b7894e347d64ccf6e636295d8a68,38b4cf766229ae7fd6d665fe9966e84140cd96e5d3e3cafc7cfb2c84670f8e92,signatures/FINAL-EVD-0010.signature.csv,4252,18dd3af819de13c8056f43c57ba05ddb5f0f08c216a1960d8ada4654595b3bbb,697
FINAL-EVD-0011,test-ood-F4-r02,ood,F4,3,35.0,40.0,196c48a082e194653982cba05505847a77c1b7894e347d64ccf6e636295d8a68,38b4cf766229ae7fd6d665fe9966e84140cd96e5d3e3cafc7cfb2c84670f8e92,signatures/FINAL-EVD-0011.signature.csv,4252,d3055112d7ade63ef051179c8fc4ec647c649fd1a5a61de00af61e512931e87a,697
FINAL-EVD-0012,test-ood-F4-r02,ood,F4,4,40.0,45.0,196c48a082e194653982cba05505847a77c1b7894e347d64ccf6e636295d8a68,38b4cf766229ae7fd6d665fe9966e84140cd96e5d3e3cafc7cfb2c84670f8e92,signatures/FINAL-EVD-0012.signature.csv,4252,621f60ca075f747ac522d2045658efd3a6e1307e72ce85771a2256e2443e617b,697
