mode,receiver,ood_fault,predicted_label,count,total_for_fault_and_model,proportion,abstentions,abstention_rate
local,F1,F4,Normal,24,24,1.0,0,0.0
local,F1,F4,F1,0,24,0.0,0,0.0
local,F1,F4,F2,0,24,0.0,0,0.0
local,F1,F4,F3,0,24,0.0,0,0.0
local,F1,F4,F8,0,24,0.0,0,0.0
local,F1,F4,F10,0,24,0.0,0,0.0
local,F1,F4,F13,0,24,0.0,0,0.0
local,F1,F4,F14,0,24,0.0,0,0.0
local,F1,F4,F15,0,24,0.0,0,0.0
local,F1,F5,Normal,24,24,1.0,0,0.0
local,F1,F5,F1,0,24,0.0,0,0.0
local,F1,F5,F2,0,24,0.0,0,0.0
local,F1,F5,F3,0,24,0.0,0,0.0
local,F1,F5,F8,0,24,0.0,0,0.0
local,F1,F5,F10,0,24,0.0,0,0.0
local,F1,F5,F13,0,24,0.0,0,0.0
local,F1,F5,F14,0,24,0.0,0,0.0
local,F1,F5,F15,0,24,0.0,0,0.0
local,F2,F4,Normal,24,24,1.0,0,0.0
local,F2,F4,F1,0,24,0.0,0,0.0
local,F2,F4,F2,0,24,0.0,0,0.0
local,F2,F4,F3,0,24,0.0,0,0.0
local,F2,F4,F8,0,24,0.0,0,0.0
local,F2,F4,F10,0,24,0.0,0,0.0
local,F2,F4,F13,0,24,0.0,0,0.0
local,F2,F4,F14,0,24,0.0,0,0.0
local,F2,F4,F15,0,24,0.0,0,0.0
local,F2,F5,Normal,24,24,1.0,0,0.0
local,F2,F5,F1,0,24,0.0,0,0.0
local,F2,F5,F2,0,24,0.0,0,0.0
local,F2,F5,F3,0,24,0.0,0,0.0
local,F2,F5,F8,0,24,0.0,0,0.0
local,F2,F5,F10,0,24,0.0,0,0.0
local,F2,F5,F13,0,24,0.0,0,0.0
local,F2,F5,F14,0,24,0.0,0,0.0
local,F2,F5,F15,0,24,0.0,0,0.0
local,F3,F4,Normal,18,24,0.75,0,0.0
local,F3,F4,F1,0,24,0.0,0,0.0
local,F3,F4,F2,0,24,0.0,0,0.0
local,F3,F4,F3,6,24,0.25,0,0.0
local,F3,F4,F8,0,24,0.0,0,0.0
local,F3,F4,F10,0,24,0.0,0,0.0
local,F3,F4,F13,0,24,0.0,0,0.0
local,F3,F4,F14,0,24,0.0,0,0.0
