mode,cluster_id,receiver,true_label,n_attempts,correct,accuracy,abstentions,abstention_rate,non_abstained,accuracy_non_abstained
local,fixture-fault-F1-b05,F1,F1,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F10-b05,F1,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F1,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F1,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F1,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F1,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F1,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F1,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F1,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F2,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F2,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F2,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F2,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F2,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F2,F2,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F3-b05,F2,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F2,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F2,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F3,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F3,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F3,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F3,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F3,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F3,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F3,F3,2,2,1.0,0,0.0,2,1.0
