mode,cluster_id,receiver,true_label,n_attempts,correct,accuracy,abstentions,abstention_rate,non_abstained,accuracy_non_abstained
local,fault-dev-F1-b05,F1,F1,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F10-b05,F1,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F1,F13,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F14-b05,F1,F14,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F15-b05,F1,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F1,F2,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F3-b05,F1,F3,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F8-b05,F1,F8,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-1-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-2-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-3-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-4-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-5-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-6-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-7-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-8-r05,F1,Normal,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F1-b05,F2,F1,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F10-b05,F2,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F2,F13,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F14-b05,F2,F14,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F15-b05,F2,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F2,F2,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F3-b05,F2,F3,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F8-b05,F2,F8,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-1-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-2-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-3-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-4-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-5-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-6-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-7-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-8-r05,F2,Normal,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F1-b05,F3,F1,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F10-b05,F3,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F3,F13,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F14-b05,F3,F14,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F15-b05,F3,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F3,F2,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F3-b05,F3,F3,8,7,0.875,0,0.0,8,0.875
local,fault-dev-F8-b05,F3,F8,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-1-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-2-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-3-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-4-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-5-r05,F3,Normal,8,1,0.125,0,0.0,8,0.125
local,normal-dev-agent-6-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-7-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-8-r05,F3,Normal,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F1-b05,F8,F1,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F10-b05,F8,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F8,F13,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F14-b05,F8,F14,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F15-b05,F8,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F8,F2,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F3-b05,F8,F3,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F8-b05,F8,F8,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-1-r05,F8,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-2-r05,F8,Normal,8,8,1.0,0,0.0,8,1.0
