  PID  PPID COMM
    1     0 /sbin/launchd
  326     1 /usr/libexec/logd
  328     1 /usr/libexec/UserEventAgent
  330     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  331     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  334     1 /usr/sbin/systemstats
  338     1 /usr/libexec/configd
  340     1 /System/Library/CoreServices/powerd.bundle/powerd
  341     1 /usr/libexec/IOMFB_bics_daemon
  345     1 /usr/libexec/remoted
  349     1 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  351     1 /usr/libexec/watchdogd
  355     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  357     1 /usr/libexec/kernelmanagerd
  358     1 /usr/libexec/diskarbitrationd
  362     1 /usr/sbin/syslogd
  364     1 /usr/libexec/thermalmonitord
  365     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  366     1 /usr/libexec/xprotectd
  367     1 /usr/libexec/opendirectoryd
  368     1 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  369     1 /System/Library/CoreServices/launchservicesd
  370     1 /usr/libexec/timed
  371     1 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  372     1 /usr/sbin/securityd
  374     1 /usr/libexec/locationd
  377     1 autofsd
  378     1 /usr/libexec/dasd
  379     1 /usr/libexec/corerepaird
  381     1 /usr/sbin/distnoted
  385     1 /System/Library/CoreServices/logind
  386     1 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  387     1 /usr/sbin/KernelEventAgent
  391     1 /usr/sbin/bluetoothd
  392     1 /usr/sbin/notifyd
  394     1 /usr/libexec/corebrightnessd
  395     1 /usr/libexec/AirPlayXPCHelper
  396     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  399     1 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  400     1 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  401     1 /usr/sbin/cfprefsd
  402     1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  403     1 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  407     1 /System/Library/CoreServices/coreservicesd
  408     1 /usr/libexec/runningboardd
  413     1 /usr/sbin/coreaudiod
  414     1 /usr/libexec/trustd
  415     1 /usr/libexec/airportd
  417     1 /usr/libexec/apfsd
  418     1 /usr/libexec/nsurlsessiond
  428     1 /usr/libexec/lsd
  432     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  433     1 /usr/sbin/distnoted
  436     1 /usr/libexec/eligibilityd
  440     1 /usr/sbin/distnoted
  444     1 /usr/libexec/corercd
  445     1 /usr/libexec/syspolicyd
  446     1 /usr/sbin/distnoted
  459     1 /usr/sbin/mDNSResponder
  487     1 /usr/libexec/symptomsd
  496     1 /usr/libexec/ApplicationFirewall/socketfilterfw
  503     1 /usr/sbin/distnoted
  508     1 Core Audio Driver (MSTeamsAudioDevice.driver)
  509     1 /System/Library/CoreServices/TimeMachine/backupd
  511     1 /usr/libexec/audiomxd
  512     1 /usr/libexec/audioclocksyncd
  520     1 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  521     1 /usr/libexec/modelmanagerd
  526     1 /usr/libexec/cameracaptured
  527     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  531     1 Core Audio Driver (ParrotAudioPlugin.driver)
  532     1 Core Audio Driver (TVRemoteAudio.driver)
  534     1 /usr/sbin/mDNSResponderHelper
  538     1 /usr/sbin/distnoted
  548     1 /usr/sbin/distnoted
  549     1 /usr/sbin/distnoted
  552     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  556     1 /usr/libexec/searchpartyd
  562     1 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  565     1 /System/Library/CoreServices/appleeventsd
  566     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  567     1 /usr/sbin/distnoted
  568     1 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  571     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  581     1 /Library/PrivilegedHelperTools/com.nordvpn.osx.helper
  584     1 /Library/Application Support/Checkpoint/Endpoint Connect/TracSrvWrapper
  588     1 /Library/PrivilegedHelperTools/com.docker.vmnetd
  596     1 /System/Library/CoreServices/SubmitDiagInfo
  597     1 /usr/libexec/rosetta/oahd
  614     1 /usr/sbin/distnoted
  616     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  621     1 /usr/sbin/distnoted
  622     1 /usr/libexec/secd
  624     1 /usr/sbin/cfprefsd
  625     1 /usr/libexec/UserEventAgent
  630     1 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  631     1 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  635     1 /usr/sbin/universalaccessd
  638     1 /usr/libexec/ContinuityCaptureAgent
  639     1 /usr/libexec/pboard
  641     1 /usr/libexec/rapportd
  642     1 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  643     1 /usr/libexec/lsd
  651     1 /usr/libexec/nsurlsessiond
  652     1 /usr/sbin/usernoted
  656     1 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  659     1 /usr/sbin/distnoted
  666     1 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  667     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  678     1 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  679     1 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  680     1 /usr/libexec/containermanagerd
  681     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  682     1 /usr/libexec/trustd
  687     1 /System/Library/CoreServices/sharedfilelistd
  692     1 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  695     1 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  699     1 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  700     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  705     1 /usr/libexec/sharingd
  712     1 /usr/libexec/nearbyd
  720     1 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  723     1 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  724     1 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  725     1 /Applications/Microsoft Remote Desktop.app/Contents/MacOS/Microsoft Remote Desktop
  727     1 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  728     1 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  729     1 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  730     1 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  731     1 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  736     1 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  738     1 /usr/sbin/filecoordinationd
  741     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  745     1 automountd
  746     1 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/chrome_crashpad_handler
  747     1 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  754     1 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  763     1 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  765     1 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  772   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  773   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  774     1 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  777   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  793     1 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
