scenario_index,delta3,discordance,a,b,pattern,rho_target,infeasible_faults,c_fault_values
631,0.0,0.15,1.0,0.0,fault_time,0.05,0;1;2;3,None;None;None;None
632,0.0,0.15,1.0,0.0,fault_time,0.1,0;1;2;3,None;None;None;None
633,0.0,0.15,1.0,0.0,fault_time,0.2,0;1;2;3,None;None;None;None
634,0.0,0.15,1.0,0.0,fault_time,0.4,0;1;2;3,None;None;None;None
646,0.0,0.15,1.0,0.5,fault_time,0.05,0;1;2;3,None;None;None;None
647,0.0,0.15,1.0,0.5,fault_time,0.1,0;1;2;3,None;None;None;None
648,0.0,0.15,1.0,0.5,fault_time,0.2,0;1;2;3,None;None;None;None
649,0.0,0.15,1.0,0.5,fault_time,0.4,0;1;2;3,None;None;None;None
661,0.0,0.15,1.0,1.0,fault_time,0.05,0;1;2;3,None;None;None;None
662,0.0,0.15,1.0,1.0,fault_time,0.1,0;1;2;3,None;None;None;None
663,0.0,0.15,1.0,1.0,fault_time,0.2,0;1;2;3,None;None;None;None
664,0.0,0.15,1.0,1.0,fault_time,0.4,0;1;2;3,None;None;None;None
766,0.0,0.3,1.0,0.0,fault_time,0.05,0;1;2;3,None;None;None;None
767,0.0,0.3,1.0,0.0,fault_time,0.1,0;1;2;3,None;None;None;None
768,0.0,0.3,1.0,0.0,fault_time,0.2,0;1;2;3,None;None;None;None
769,0.0,0.3,1.0,0.0,fault_time,0.4,0;1;2;3,None;None;None;None
781,0.0,0.3,1.0,0.5,fault_time,0.05,0;1;2;3,None;None;None;None
782,0.0,0.3,1.0,0.5,fault_time,0.1,0;1;2;3,None;None;None;None
783,0.0,0.3,1.0,0.5,fault_time,0.2,0;1;2;3,None;None;None;None
784,0.0,0.3,1.0,0.5,fault_time,0.4,0;1;2;3,None;None;None;None
796,0.0,0.3,1.0,1.0,fault_time,0.05,0;1;2;3,None;None;None;None
797,0.0,0.3,1.0,1.0,fault_time,0.1,0;1;2;3,None;None;None;None
798,0.0,0.3,1.0,1.0,fault_time,0.2,0;1;2;3,None;None;None;None
799,0.0,0.3,1.0,1.0,fault_time,0.4,0;1;2;3,None;None;None;None
