procedure,discordance,a,b,pattern,maximum_tested_rho_prefix_le_0.055,nonmonotone,rho_0.0_status,rho_0.0_scenario,rho_0.0_phat,rho_0.0_mcse,rho_0.0_ci_low,rho_0.0_ci_high,rho_0.05_status,rho_0.05_scenario,rho_0.05_phat,rho_0.05_mcse,rho_0.05_ci_low,rho_0.05_ci_high,rho_0.1_status,rho_0.1_scenario,rho_0.1_phat,rho_0.1_mcse,rho_0.1_ci_low,rho_0.1_ci_high,rho_0.2_status,rho_0.2_scenario,rho_0.2_phat,rho_0.2_mcse,rho_0.2_ci_low,rho_0.2_ci_high,rho_0.4_status,rho_0.4_scenario,rho_0.4_phat,rho_0.4_mcse,rho_0.4_ci_low,rho_0.4_ci_high
Tango H3,0.15,0.0,0.0,fault_time,0.0,False,COMPLETE,0,0.03946,0.000615653379751951,0.038261714859047065,0.04068508990821188,COMPLETE,1,0.05632,0.0007290271435275919,0.05489901694315169,0.05776678465137037,COMPLETE,2,0.07126,0.0008135232780935037,0.0696729748012545,0.0728719460508292,COMPLETE,3,0.10695,0.0009773008620685853,0.1050409439907723,0.10888188653365435,COMPLETE,4,0.19808,0.001260334533368026,0.19561357236162064,0.20056395126434642
Tango H3,0.15,0.0,0.0,interaction_fault,0.05,False,COMPLETE,10,0.04084,0.0006258761411014164,0.0396216384829005,0.04208508358781447,COMPLETE,11,0.05419,0.0007159151060007045,0.05279477781454574,0.055611149833621455,COMPLETE,12,0.07196,0.000817201067057551,0.07036574620202643,0.07357913349951802,COMPLETE,13,0.10936,0.0009869163611978472,0.10743202825261948,0.11131066152456391,COMPLETE,14,0.19672,0.0012570650007060096,0.19426001987192487,0.1991975828116856
Tango H3,0.15,0.0,0.0,time_interaction,0.05,False,COMPLETE,5,0.03985,0.0006185626686116775,0.038646001414153974,0.04108077996818255,COMPLETE,6,0.05474,0.0007193297741648123,0.053338069241455774,0.0561678258431782,COMPLETE,7,0.07164,0.000815522595640366,0.07004904520960208,0.07325585330256025,COMPLETE,8,0.10714,0.0009780645193441994,0.10522944175445723,0.10907337767237868,COMPLETE,9,0.19734,0.001258558399121789,0.19487707492860518,0.19982049171369842
Tango H3,0.15,0.0,0.5,fault_time,0.0,False,COMPLETE,15,0.04102,0.0006271950223016761,0.03979904828992591,0.042267663004337847,COMPLETE,16,0.05515,0.0007218620193638116,0.05374309424544452,0.05658277657122398,COMPLETE,17,0.07079,0.000811041157402015,0.06920785327556558,0.07239709521099491,COMPLETE,18,0.11133,0.000994663918617741,0.10938678634034776,0.11329578841264608,COMPLETE,19,0.20377,0.0012737652338637604,0.20127708405997308,0.20628010883018266
Tango H3,0.15,0.0,0.5,interaction_fault,0.0,False,COMPLETE,25,0.04047,0.0006231547087200737,0.03925698315065631,0.04170976107878918,COMPLETE,26,0.05669,0.0007312745305287201,0.055264601420687766,0.05814117829215589,COMPLETE,27,0.07041,0.0008090267727337582,0.06883181239875653,0.07201315843346037,COMPLETE,28,0.10788,0.0009810295897678114,0.10596360891954722,0.10981916728729543,COMPLETE,29,0.19644,0.0012563889779841275,0.1939813529523121,0.19891626600819523
Tango H3,0.15,0.0,0.5,time_interaction,0.0,False,COMPLETE,20,0.04101,0.0006271218374446866,0.03978919202034242,0.042257519872554244,COMPLETE,21,0.05521,0.0007222316518957059,0.05380236803954138,0.05664349922618804,COMPLETE,22,0.07272,0.000821168689125444,0.07111794780418355,0.0743468872291633,COMPLETE,23,0.11275,0.0010001871699836986,0.11079591989608391,0.11472657196021001,COMPLETE,24,0.20472,0.0012759691281531854,0.20222273702230967,0.20723440065250212
Tango H3,0.15,0.0,1.0,fault_time,0.0,False,COMPLETE,30,0.03983,0.000618413867082555,0.03862629364147421,0.041060488939812054,COMPLETE,31,0.05651,0.0007301823053183363,0.05508674736021477,0.05795904299723512,COMPLETE,32,0.07317,0.0008235056229316227,0.07156335447130191,0.07480145411834649,COMPLETE,33,0.11421,0.0010058134812180636,0.11224485030164506,0.11619755633474457,COMPLETE,34,0.20992,0.001287841580319567,0.2073993170004773,0.21245751846309904
Tango H3,0.15,0.0,1.0,interaction_fault,0.05,False,COMPLETE,40,0.04161,0.00063149511399535,0.04038060311340454,0.04286607287361743,COMPLETE,41,0.05496,0.0007206899361028986,0.0535553969947787,0.05639048506731991,COMPLETE,42,0.0713,0.000813734047462683,0.06971256054284317,0.07291235795755091,COMPLETE,43,0.11006,0.000989680738420224,0.10812658992647099,0.11201605897651072,COMPLETE,44,0.19587,0.0012550097334283906,0.19341407271161468,0.19834357938435052
Tango H3,0.15,0.0,1.0,time_interaction,0.05,False,COMPLETE,35,0.0406,0.000624112489860602,0.039385102154029725,0.04184163428881235,COMPLETE,36,0.0548,0.00071970104904745,0.05339733981651228,0.056228551716359085,COMPLETE,37,0.07372,0.0008263495725175877,0.07210776451131018,0.07535701176279272,COMPLETE,38,0.11527,0.0010098654717337354,0.11329687788838252,0.1172654668833757,COMPLETE,39,0.21254,0.0012937030122868232,0.21000775300264676,0.21508893020539238
Tango H3,0.15,0.5,0.0,fault_time,0.05,False,COMPLETE,45,0.04077,0.000625362351760961,0.03955264752676256,0.04201407873540452,COMPLETE,46,0.05436,0.000716972735883311,0.05296269996903399,0.05578321761293368,COMPLETE,47,0.07092,0.0008117287330136836,0.06933650188841403,0.07252843895417448,COMPLETE,48,0.10894,0.0009852516247132,0.10701530322403685,0.11088741107910126,COMPLETE,49,0.19614,0.0012556635711845749,0.1936827834022833,0.19861485299788126
