scenario_index,status,delta3,discordance,a,b,pattern,rho,procedure,rejections,phat,mcse,ci_low,ci_high
0,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.0,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
0,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.0,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
0,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.0,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
0,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.0,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
0,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.0,tango_0.025,1924,0.01924,0.00043439408835756503,0.018397568567730064,0.020110476564642727
0,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.0,tango_0.05,3946,0.03946,0.000615653379751951,0.038261714859047065,0.04068508990821188
1,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.05,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
1,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.05,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
1,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.05,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
1,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.05,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
1,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.05,tango_0.025,2931,0.02931,0.0005333940747702397,0.02827323604722312,0.030374182472435233
1,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.05,tango_0.05,5632,0.05632,0.0007290271435275919,0.05489901694315169,0.05776678465137037
2,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.1,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
2,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.1,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
2,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.1,hoeffding_h3_0.025,1,1e-05,9.999949999874999e-06,2.531780477933314e-07,5.571516034774275e-05
2,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.1,hoeffding_h3_0.05,2,2e-05,1.4141994201667599e-05,2.4221019627031544e-06,7.22449893650479e-05
2,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.1,tango_0.025,3849,0.03849,0.0006083462821452926,0.03730606472714855,0.03970079825341943
2,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.1,tango_0.05,7126,0.07126,0.0008135232780935037,0.0696729748012545,0.0728719460508292
3,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.2,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
3,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.2,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
3,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.2,hoeffding_h3_0.025,2,2e-05,1.4141994201667599e-05,2.4221019627031544e-06,7.22449893650479e-05
3,COMPLETE,-0.125,0.15,0.0,0.0,fault_time,0.2,hoeffding_h3_0.05,6,6e-05,2.4494162569885914e-05,2.201925059919836e-05,0.0001305901306201627
