run_id,set_name,stream_id,seed_namespace,seed_digest,J,window_position,burn_in_h,stop_time_h,window_h,use
cal_thr-001,cal_thr,40000,fot-tep/fase03/soglie_normal/cal_thr/j/v1,ff4faa819281604cd8f9bd95e7d1858d20468cee0b3fd1514db6305f4a20598c,1,1,20,25,5,threshold
cal_thr-002,cal_thr,40001,fot-tep/fase03/soglie_normal/cal_thr/j/v1,5d6f8e8e63bb550dae73428713a9e875d0d6acfdd3203e78e4756bcb4dfbbcb8,8,8,20,60,5,threshold
cal_thr-003,cal_thr,40002,fot-tep/fase03/soglie_normal/cal_thr/j/v1,899503645f0cdd560c0b3408c3823b3a264add038a8cb00497c93b73a73b82c8,9,9,20,65,5,threshold
cal_thr-004,cal_thr,40003,fot-tep/fase03/soglie_normal/cal_thr/j/v1,30979bba7c1f0d0361863d3cd62af8ed977480304c0f963b5babe9c94a64e37a,2,2,20,30,5,threshold
cal_thr-005,cal_thr,40004,fot-tep/fase03/soglie_normal/cal_thr/j/v1,59c8d52d726017aee00d848a21acbc5c561d1338ed678c57b63388030ecbdb9d,5,5,20,45,5,threshold
cal_thr-006,cal_thr,40005,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d2e8a70b27274f7feeb07537985ce15bdad04e819013e381fc29707d4180cf90,10,10,20,70,5,threshold
cal_thr-007,cal_thr,40006,fot-tep/fase03/soglie_normal/cal_thr/j/v1,b1399c1811f16e668328a2fbcc6043adc31f296f806eec24925e9c9a515c4e03,5,5,20,45,5,threshold
cal_thr-008,cal_thr,40007,fot-tep/fase03/soglie_normal/cal_thr/j/v1,50b6a896f54086434815b6fcd264a482f9b4849f3a56038f7d2359a59243a6f9,6,6,20,50,5,threshold
cal_thr-009,cal_thr,40008,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d4d3997c21c544624c367fb143b0956b847445af98b83e09c75c2539c80a6196,7,7,20,55,5,threshold
cal_thr-010,cal_thr,40009,fot-tep/fase03/soglie_normal/cal_thr/j/v1,8cd1a18d4d673b107bcf407514562dfeedec8d120987809cda9d052f84c92d85,7,7,20,55,5,threshold
cal_thr-011,cal_thr,40010,fot-tep/fase03/soglie_normal/cal_thr/j/v1,e9bb8c8cedaa7e4c3861ed5ebcfd9f98754d2523b77fbd67149d1bd3e1abcefb,5,5,20,45,5,threshold
cal_thr-012,cal_thr,40011,fot-tep/fase03/soglie_normal/cal_thr/j/v1,7ea7d672448d1274e32c5e6a48d55cae4ef56ad8b2ba399eeabcc42b2b6f6aed,5,5,20,45,5,threshold
cal_thr-013,cal_thr,40012,fot-tep/fase03/soglie_normal/cal_thr/j/v1,9b25c8af29ccedb3e650d1ea2e95020a56d5d8c7bf22e26e309f83437ace1bb0,4,4,20,40,5,threshold
cal_thr-014,cal_thr,40013,fot-tep/fase03/soglie_normal/cal_thr/j/v1,ecc86dfe30eb6b6cbfe8c936766a0fa20627414bad9763ff96ae613edc5df64b,3,3,20,35,5,threshold
cal_thr-015,cal_thr,40014,fot-tep/fase03/soglie_normal/cal_thr/j/v1,89b04bcd19c63d408a23f004ba693ce63b683eb130c986c6bb49de285d99af3d,7,7,20,55,5,threshold
cal_thr-016,cal_thr,40015,fot-tep/fase03/soglie_normal/cal_thr/j/v1,076124ae7f3387fcb7f016e46e52d11e60944b0b82a98104bb1b8820cb0dbce5,5,5,20,45,5,threshold
cal_thr-017,cal_thr,40016,fot-tep/fase03/soglie_normal/cal_thr/j/v1,105bcd42b636b70c0df082e2011d8cff264b59ce45822b064660acbe66895a0c,5,5,20,45,5,threshold
cal_thr-018,cal_thr,40017,fot-tep/fase03/soglie_normal/cal_thr/j/v1,a00ac58f54e96638d6492de1c7b1d2460e3052c2c91169146d30eef0f83f5b6a,1,1,20,25,5,threshold
cal_thr-019,cal_thr,40018,fot-tep/fase03/soglie_normal/cal_thr/j/v1,86eced2ea2e74b5490e3e74414eae1dec7f5e4efbe5431ce15ee603ee3927e87,1,1,20,25,5,threshold
cal_thr-020,cal_thr,40019,fot-tep/fase03/soglie_normal/cal_thr/j/v1,86741528386e6549d245ad3d37e9b090c489361498e5c104e0862e21273eee7b,2,2,20,30,5,threshold
cal_thr-021,cal_thr,40020,fot-tep/fase03/soglie_normal/cal_thr/j/v1,cba90bdd968e9f4df6d1b84134237a9f6e5739191eec10337c2608c1a976d2a2,8,8,20,60,5,threshold
cal_thr-022,cal_thr,40021,fot-tep/fase03/soglie_normal/cal_thr/j/v1,53f6cd271b276444df7ed6c818aba4511f4f2f36939ee7048da33e5f5c9fd1f5,3,3,20,35,5,threshold
cal_thr-023,cal_thr,40022,fot-tep/fase03/soglie_normal/cal_thr/j/v1,07476dcaf7673d58d5dccf372a07fddaf4fc9aef0d1d874d4c7e7f481d3db910,9,9,20,65,5,threshold
cal_thr-024,cal_thr,40023,fot-tep/fase03/soglie_normal/cal_thr/j/v1,fb330401bba5ae592aaef9dc1b6358b46766c728822d40a9f43537e4584ffeea,8,8,20,60,5,threshold
