run_id,set_name,stream_id,seed_namespace,seed_digest,J,window_position,burn_in_h,stop_time_h,window_h,use
far_ver-001,far_ver,50000,fot-tep/fase03/soglie_normal/far_ver/position/v1,0a86a50e1e59156051142ee25a24f9020c7c24a46f2d088b296d6b9e80ccaa7e,10,5,20,70,5,far_ver
far_ver-002,far_ver,50001,fot-tep/fase03/soglie_normal/far_ver/position/v1,00a2c1e4a8952f337075a1220b90a68e7a59d4b2946a67e022f447621bc58525,10,4,20,70,5,far_ver
far_ver-003,far_ver,50002,fot-tep/fase03/soglie_normal/far_ver/position/v1,37e6e5a6a9fdfb70021766fc594b9d5b1b30880e71876ae0910d8a1c01e254ee,10,1,20,70,5,far_ver
far_ver-004,far_ver,50003,fot-tep/fase03/soglie_normal/far_ver/position/v1,c3ea867f69508fdcc49a006fe893f0a808bf241a90780c63962f7cb5457630bf,10,9,20,70,5,far_ver
far_ver-005,far_ver,50004,fot-tep/fase03/soglie_normal/far_ver/position/v1,3b41e857663fbd610eac42b52ea5e6eb40b6d1c8825a4207bc91f943697b81de,10,10,20,70,5,far_ver
far_ver-006,far_ver,50005,fot-tep/fase03/soglie_normal/far_ver/position/v1,c462ccde282fc56cb3f211aa5e46d1a2a9fc3c3dd8741917136c219307ed276c,10,3,20,70,5,far_ver
far_ver-007,far_ver,50006,fot-tep/fase03/soglie_normal/far_ver/position/v1,168d8e56ccd3b4568fc3508d363eccab506f6046c2843ee0bd8a7621ab8cbb3e,10,3,20,70,5,far_ver
far_ver-008,far_ver,50007,fot-tep/fase03/soglie_normal/far_ver/position/v1,bca64795b3e47fbe02d24cf20e2e2a66ab96a33c8b9b90f8f768f7366dbb6b6d,10,9,20,70,5,far_ver
far_ver-009,far_ver,50008,fot-tep/fase03/soglie_normal/far_ver/position/v1,e23e30cfbe705d62f37f77af4749e815d6204a9823e1507e9d91f4dab1b86541,10,7,20,70,5,far_ver
far_ver-010,far_ver,50009,fot-tep/fase03/soglie_normal/far_ver/position/v1,7bfb556a714fb7630b9812f4b7bf31a4b481e278557bfff8dc94d0319dc5fd66,10,10,20,70,5,far_ver
