physical_case_id,fault/status,attempt,seed,filename,size_bytes,SHA256,rows,cols,time_start,time_end,sampling,finite_check,structural_valid
EXP3V2-N-001,Normal,0,320001,EXP3V2-N-001__attempt-0.xlsx,1704691,3e3f0bd928ef4db930584689d13a79dbce368ee6783920d250a4c66137d1d35c,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-N-002,Normal,0,320002,EXP3V2-N-002__attempt-0.xlsx,1704630,b36bccacdc386b1ca3aefe0856b18f735c48a805c052c012b270e7c1c53bbbdf,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-N-003,Normal,0,320003,EXP3V2-N-003__attempt-0.xlsx,1704289,36ef20b35161d071267e1607ee44e57332eb9a7b117b049580350247dd7c8e24,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-N-004,Normal,0,320004,EXP3V2-N-004__attempt-0.xlsx,1704633,08f3e943c831fa1a43ce91ea7fb9115614019302ff60aac89c360e28cc2c595e,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-N-005,Normal,0,320005,EXP3V2-N-005__attempt-0.xlsx,1704770,ba81b8b98cf82a654d8afb00c06f9521dbd2d882da1204dd0a37c72b2800d51e,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-N-006,Normal,0,320006,EXP3V2-N-006__attempt-0.xlsx,1705000,70e3d3ca61527a6cc6f6a6e477f4ce753c3d4fc2b6db9dd30f51112cd8ffaab8,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F1-001,F1,0,320007,EXP3V2-F1-001__attempt-0.xlsx,1706084,2c4ea547df2888fd57599f6c763524d800c55a2543785470c8f5057a203dc68d,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F1-002,F1,0,320008,EXP3V2-F1-002__attempt-0.xlsx,1706272,481f27ce813a921d33cf3941de824669c985a455a7d6c32db6cabbf135a6a021,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F1-003,F1,0,320009,EXP3V2-F1-003__attempt-0.xlsx,1705634,c3f6fd12adff320bf7913aefbd3c1632481eda0aa6a169b8227c2881e38150c2,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F1-004,F1,0,320010,EXP3V2-F1-004__attempt-0.xlsx,1706422,32b77b8d711dc795ff02b3ff2dd58b2b7e3097a5060d71ad3eaae08438ccb0d8,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F1-005,F1,0,320011,EXP3V2-F1-005__attempt-0.xlsx,1705262,a94d019f4bc98b4c16042c8bc00b6b3a8bad678c96327cc46e253f1f1f5c9bcf,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F1-006,F1,0,320012,EXP3V2-F1-006__attempt-0.xlsx,1706218,808dabdcab87c4ac0a40476a3bb08a284b383ea3be62803b6b8854738e115597,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F8-001,F8,0,320013,EXP3V2-F8-001__attempt-0.xlsx,1708452,6a91b6ee718dc93a576b0964c960e1a07ee9c41a3b18cdcdbcf242c51054b3de,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F8-002,F8,0,320014,EXP3V2-F8-002__attempt-0.xlsx,1709010,f34c9847afbdfb30c3a998fa7404d97514214baea01de84508b3ec5214c52f39,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F8-003,F8,0,320015,EXP3V2-F8-003__attempt-0.xlsx,1706087,d932c613e1117aea25c7d1529ec5d900e7de0d9abc19ff18a52fb9a17d433877,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F8-004,F8,0,320016,EXP3V2-F8-004__attempt-0.xlsx,1707952,c05781905f38d85b95d70f854a390ca6f9ca2e95b6ea5794f90c90f322fd926e,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F8-005,F8,0,320017,EXP3V2-F8-005__attempt-0.xlsx,1708161,fe3b1c1a9bb99920fb5d589d58514e76589902fd12196884565fd6648051f68e,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F8-006,F8,0,320018,EXP3V2-F8-006__attempt-0.xlsx,1707204,337cb31b9d9c5547d22be2d436cdf7eca1a3474da2d67c16b748b369aab1669d,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F10-001,F10,0,320019,EXP3V2-F10-001__attempt-0.xlsx,1704888,bb7183da6be54c3968516d4dca243e777baa8d9262c2e4e0598380956ed2c0c5,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F10-002,F10,0,320020,EXP3V2-F10-002__attempt-0.xlsx,1705325,c2afb47c563d42ac04252a66b17615ebf0a2029e22c5d76e4531cdb32b924f5a,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F10-003,F10,0,320021,EXP3V2-F10-003__attempt-0.xlsx,1704825,f4b70837e56c4c92be74ca12c97a7a67bb66a251a6fe40c700ba246b43438c50,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F10-004,F10,0,320022,EXP3V2-F10-004__attempt-0.xlsx,1704862,43833d21c41bac4e259dfe36fc528f85c97c927c7a9efb4cfa43fd048399488b,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F10-005,F10,0,320023,EXP3V2-F10-005__attempt-0.xlsx,1705115,b94cad150de9a3531c06b15161ee8c2c8d98d8f75b68fd419c62944a7de5dcac,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F10-006,F10,0,320024,EXP3V2-F10-006__attempt-0.xlsx,1704905,3304faca09681453636388fc4f1c3fde29ee717449b361febac2ef3fd2da08d6,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F13-001,F13,0,320025,EXP3V2-F13-001__attempt-0.xlsx,1707377,95233e6f44373855cf68b1337dd9073e496a5c2ccc85bfbe8927a2532e02f9f0,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F13-002,F13,0,320026,EXP3V2-F13-002__attempt-0.xlsx,1707981,662f4f318108e294646753e94ce56225dce26997b4e1be53d8d6cc9a460d6d39,3001,54,0,50,0.016666666666666666,true,true
EXP3V2-F13-003,F13,0,320027,EXP3V2-F13-003__attempt-0.xlsx,1708539,e0e4702c797f7057b4f258c6eb2c5b221f19aed7ceecbfb07eb9f265f68a8fac,3001,54,0,50,0.016666666666666666,true,true
